Eu _ um desenho.|fiz
Ela _ a tarefa.|fez
Nós _ uma festa.|fizemos
Eles _ um pedido.|fizeram
Tu _ um favor.|fizeste
Ele _ um comentário.|fez
Vocês _ uma escolha.|fizeram
Eu _ um discurso.|fiz
Elas _ um experimento.|fizeram
Nós _ uma viagem.|fizemos
Eu _ uma pergunta.|fiz
Ela _ um plano.|fez
Nós _ uma reunião.|fizemos
Eles _ uma descoberta.|fizeram
Tu _ uma promessa.|fizeste
Ele _ um anúncio.|fez
Vocês _ uma apresentação.|fizeram
Eu _ um telefonema.|fiz
Elas _ uma confissão.|fizeram
Nós _ um acordo.|fizemos
Eu _ um apelo.|fiz
Ela _ uma escolha.|fez
Nós _ uma proposta.|fizemos
Eles _ um esforço.|fizeram
Tu _ uma reflexão.|fizeste
Ele _ uma sugestão.|fez
Vocês _ uma observação.|fizeram
Eu _ um comentário.|fiz
Elas _ uma análise.|fizeram
Nós _ uma reforma.|fizemos
Eles _ um progresso.|fizeram
Tu _ um ajuste.|fizeste
Ele _ um cálculo.|fez
Vocês _ um teste.|fizeram
Eu _ uma pausa.|fiz
Elas _ um relatório.|fizeram
Nós _ uma seleção.|fizemos
Eles _ um anúncio.|fizeram
Tu _ uma mudança.|fizeste
Ele _ uma tentativa.|fez
Vocês _ um experimento.|fizeram
Eu _ uma contribuição.|fiz
Elas _ uma declaração.|fizeram
Nós _ uma revelação.|fizemos
Eles _ um pedido.|fizeram
Tu _ um desafio.|fizeste
Ele _ uma análise.|fez
Vocês _ uma proposta.|fizeram
