Eu _ canadense.|sou
Ela _ brasileira.|é
Nós _ inteligentes.|somos
Eles _ artistas.|são
Vocês _ corajosos.|são
Tu _ criativo.|és
Ele _ médico.|é
Eu _ feliz.|sou
Elas _ professoras.|são
Nós _ trabalhadores.|somos
Eu _ otimista.|sou
Ela _ engenheira.|é
Vocês _ estudiosos.|são
Nós _ amigos.|somos
Tu _ bom.|és
Ele _ forte.|é
Eu _ humilde.|sou
Elas _ atrizes.|são
Nós _ unidos.|somos
Eles _ simpáticos.|são
Vocês _ talentosos.|são
Eu _ generoso.|sou
Ele _ alto.|é
Tu _ corajoso.|és
Nós _ criativos.|somos
Elas _ organizadas.|são
Vocês _ pacientes.|são
Eu _ atencioso.|sou
Ela _ competente.|é
Tu _ sério.|és
Nós _ alegres.|somos
Eles _ responsáveis.|são
Vocês _ divertidos.|são
Eu _ determinado.|sou
Ele _ calmo.|é
Elas _ carinhosas.|são
Nós _ dedicados.|somos
Vocês _ sociáveis.|são
Tu _ curioso.|és
Eu _ esforçado.|sou
Ela _ simpática.|é
Eles _ organizados.|são
Vocês _ otimistas.|são
Nós _ honestos.|somos
Elas _ talentosas.|são
Tu _ extrovertido.|és
Ele _ sensato.|é
